日期,收盘,开盘,高,低,交易量,涨跌幅
2023年5月27日,"26,857.50","26,711.20","26,882.90","26,591.20",18.68K,0.55%
2023年5月26日,"26,711.50","26,475.50","26,911.60","26,330.00",45.88K,0.89%
2023年5月25日,"26,475.80","26,327.10","26,589.20","25,892.50",50.17K,0.56%
2023年5月24日,"26,328.40","27,220.70","27,220.70","26,088.70",72.65K,-3.28%
2023年5月23日,"27,220.70","26,851.60","27,448.10","26,804.10",50.89K,1.39%
2023年5月22日,"26,847.30","26,749.90","27,048.90","26,546.10",35.56K,0.36%
2023年5月21日,"26,749.90","27,116.20","27,257.10","26,677.60",27.42K,-1.35%
2023年5月20日,"27,116.20","26,883.00","27,147.20","26,831.30",17.72K,0.87%
2023年5月19日,"26,882.90","26,828.20","27,154.70","26,711.30",36.67K,0.20%
2023年5月18日,"26,828.00","27,403.80","27,467.00","26,449.80",63.39K,-2.10%
2023年5月17日,"27,403.10","27,035.50","27,465.30","26,597.70",58.14K,1.36%
2023年5月16日,"27,035.30","27,183.90","27,295.30","26,881.90",45.29K,-0.55%
2023年5月15日,"27,183.90","26,920.40","27,651.70","26,752.10",53.27K,0.98%
2023年5月14日,"26,920.00","26,777.40","27,176.10","26,609.90",26.35K,0.53%
2023年5月13日,"26,777.50","26,798.70","27,011.90","26,695.60",27.95K,-0.08%
2023年5月12日,"26,799.20","26,983.10","27,044.00","25,853.10",87.49K,-0.68%
2023年5月11日,"26,983.50","27,604.30","27,607.40","26,766.20",62.85K,-2.25%
2023年5月10日,"27,603.30","27,634.30","28,311.70","26,885.70",91.45K,-0.11%
2023年5月9日,"27,634.90","27,670.50","27,816.00","27,366.30",49.75K,-0.13%
2023年5月8日,"27,670.50","28,424.80","28,627.80","27,280.30",85.72K,-2.65%
2023年5月7日,"28,424.80","28,857.10","29,122.00","28,419.60",36.50K,-1.50%
2023年5月6日,"28,857.10","29,512.80","29,816.40","28,414.90",58.94K,-2.22%
2023年5月5日,"29,513.20","28,842.20","29,653.90","28,825.30",74.52K,2.33%
2023年5月4日,"28,842.10","29,023.60","29,352.70","28,687.40",53.80K,-0.63%
2023年5月3日,"29,023.60","28,669.10","29,244.70","28,164.40",81.22K,1.24%
